sex,age,race,priors_count,days_b_screening_arrest,c_charge_degree,label,jailtime
1,62,0,0,0.0,0,1,-1
1,27,0,6,0.0,1,0,30
1,33,0,0,-1.0,0,1,1
0,56,0,0,0.0,0,1,3
1,45,0,6,-1.0,1,0,241
1,22,0,1,-1.0,1,1,1
1,39,0,1,-1.0,0,1,4
1,29,0,5,0.0,1,0,1
1,27,1,1,-1.0,1,0,14
1,40,0,2,-15.0,1,1,3
1,22,0,1,0.0,0,0,16
1,22,1,0,-1.0,1,1,57
0,26,0,1,-1.0,1,0,2
1,27,1,1,-43.0,1,0,19
1,32,0,0,-1.0,1,1,1
1,41,0,1,-1.0,0,1,1
1,30,0,8,-1.0,0,0,1
1,50,0,0,-1.0,1,0,0
1,25,0,14,-1.0,1,0,7
1,20,0,0,-1.0,1,0,1
1,22,0,2,0.0,1,0,30
1,23,0,2,137.0,0,0,0
0,35,0,1,-1.0,0,1,0
1,36,0,9,0.0,1,0,3
1,26,1,7,0.0,1,0,0
1,21,0,1,0.0,1,0,3
1,25,1,9,-1.0,1,0,0
0,20,1,0,-1.0,1,1,0
1,39,1,2,-2.0,1,0,-1
1,66,1,3,-64.0,1,1,30
0,54,1,0,0.0,0,1,0
0,44,0,0,-2.0,0,1,1
1,19,0,1,-10.0,0,0,9
1,24,0,1,-137.0,1,1,137
1,30,0,1,-1.0,1,1,0
0,39,1,0,-1.0,1,0,1
1,24,1,8,-1.0,1,0,12
1,30,1,0,-1.0,1,1,5
1,31,1,0,-1.0,0,1,38
0,39,1,1,-1.0,1,1,106
1,59,0,14,178.0,1,0,109
1,43,1,1,-30.0,1,1,1
1,21,0,3,-1.0,1,0,6
1,38,1,5,-1.0,0,0,2
1,34,1,0,0.0,1,1,14
1,33,0,5,0.0,1,0,0
1,37,0,3,0.0,1,1,1
1,42,1,1,0.0,1,0,0
1,41,0,10,0.0,1,0,176
1,22,0,0,-1.0,1,0,0
1,33,0,28,-1.0,1,0,1
1,31,0,1,-1.0,0,1,1
0,30,0,1,-1.0,1,1,1
1,31,1,13,-1.0,1,0,471
1,27,0,3,-1.0,1,0,0
1,56,0,8,67.0,1,1,79
1,52,1,3,-2.0,0,1,0
1,33,0,19,-1.0,1,0,0
0,64,1,2,-47.0,0,1,-1
1,22,1,4,-36.0,1,0,14
1,42,1,6,-4.0,1,1,-1
0,25,1,2,-1.0,1,1,3
1,30,1,1,-20.0,0,1,3
0,37,0,2,-1.0,0,1,1
1,28,1,0,-1.0,0,0,0
0,24,0,0,-1.0,0,1,2
0,29,1,10,-1.0,1,0,7
1,44,1,2,0.0,0,0,-1
0,30,0,4,-35.0,1,0,0
1,32,0,3,-1.0,1,0,8
1,31,1,2,-16.0,0,0,15
1,31,0,1,-1.0,0,1,1
1,59,1,1,-1.0,1,0,0
0,20,0,1,0.0,1,1,2
0,43,1,0,0.0,0,1,0
1,38,0,9,-1.0,1,0,13
1,32,0,11,-2.0,1,0,1
1,33,0,8,-1.0,0,0,0
0,31,0,0,-1.0,1,0,1
0,33,0,7,-1.0,1,0,26
1,27,0,2,-1.0,1,0,1
0,20,0,0,0.0,1,1,0
0,26,1,0,-2.0,0,1,0
0,61,0,1,-1.0,1,0,0
1,52,0,13,-1.0,1,0,1
1,63,0,1,-26.0,1,1,14
0,32,0,4,-7.0,1,0,6
1,29,0,1,-1.0,1,1,0
0,26,0,2,-1.0,0,0,0
1,55,0,3,-51.0,0,1,1
1,39,1,1,-1.0,0,1,3
0,30,1,3,0.0,1,0,530
1,30,0,1,0.0,1,1,70
1,48,1,2,-1.0,0,1,0
1,22,0,1,-1.0,1,1,0
1,46,1,6,22.0,1,0,22
0,49,1,6,-56.0,1,1,5
1,31,1,0,0.0,1,1,2
1,25,0,1,-1.0,0,0,1
1,23,0,0,-1.0,1,1,0
0,32,0,5,-1.0,1,1,1
1,52,0,2,-1.0,0,1,3
1,62,0,8,0.0,1,1,15
0,37,1,6,-110.0,1,1,105
1,55,1,1,-45.0,1,1,18
1,31,0,8,29.0,1,0,117
1,28,0,6,-1.0,0,0,0
1,54,0,2,-1.0,1,1,188
1,58,0,0,-1.0,1,1,0
1,78,1,1,-1.0,0,0,0
1,56,1,0,-1.0,1,1,1
1,24,0,0,-1.0,1,1,1
1,38,0,22,-34.0,1,0,33
1,22,0,1,0.0,1,0,0
1,47,0,23,-1.0,0,0,0
1,23,0,0,-1.0,0,0,1
1,57,0,1,0.0,1,1,19
0,38,1,2,-35.0,1,0,0
1,66,0,3,-10.0,1,1,2
1,45,1,8,0.0,0,0,71
1,32,0,13,289.0,1,0,97
1,37,0,2,0.0,0,0,0
1,39,1,0,0.0,1,0,0
1,26,0,9,0.0,1,0,79
1,45,1,2,-1.0,1,1,358
1,23,0,0,-1.0,1,0,0
1,34,0,2,0.0,0,1,25
0,23,0,1,-1.0,0,1,0
1,36,0,2,-1.0,0,0,2
1,50,1,1,-4.0,1,1,1
0,37,1,0,-1.0,0,1,0
1,44,1,4,0.0,0,1,1
0,35,0,23,-1.0,1,0,2
1,24,0,5,-1.0,1,0,0
1,26,0,2,-1.0,1,0,1
1,27,0,0,-1.0,0,1,2
0,28,0,0,0.0,1,1,29
1,43,1,11,49.0,1,0,121
0,28,1,7,-1.0,1,0,1
1,38,0,2,-1.0,1,1,1
1,27,1,2,-36.0,0,1,36
0,28,0,1,-1.0,1,1,38
1,56,1,7,-1.0,1,0,0
1,38,0,15,-1.0,1,1,1
1,28,0,2,-1.0,0,1,0
1,45,0,3,104.0,1,1,218
1,61,1,1,-34.0,1,1,0
0,51,1,0,-1.0,0,0,0
1,51,1,0,-1.0,0,1,0
1,36,0,1,-1.0,0,0,1
1,48,0,0,-1.0,1,1,1
1,37,1,4,0.0,1,0,1
0,30,0,2,-1.0,1,1,2
0,41,0,5,0.0,0,1,0
1,27,0,11,-1.0,1,0,223
1,37,0,0,-1.0,0,1,1
1,33,0,4,0.0,1,0,2
1,54,0,11,-1.0,1,1,129
1,23,0,2,-1.0,1,1,71
0,26,0,2,-227.0,1,0,226
1,41,0,0,0.0,0,1,0
1,52,1,0,-1.0,1,1,0
1,43,1,13,0.0,1,0,51
1,52,0,0,-1.0,1,1,13
1,28,1,1,-3.0,1,1,3
1,30,0,11,-1.0,0,0,1
1,28,1,1,0.0,1,1,6
1,22,0,0,-1.0,1,1,0
1,30,0,4,0.0,1,1,-1
1,25,0,4,0.0,1,1,1
1,31,1,0,-1.0,1,0,30
1,37,1,0,-1.0,1,0,35
1,32,0,14,-1.0,1,1,1
1,26,0,4,649.0,0,1,75
1,53,1,1,-1.0,0,1,1
1,28,0,25,29.0,1,0,25
1,44,1,8,-1.0,0,0,4
1,25,0,0,0.0,1,1,0
1,22,1,1,0.0,0,0,5
0,37,0,0,-1.0,0,1,1
0,40,0,3,-1.0,1,1,1
1,36,1,8,150.0,1,0,22
1,30,1,4,-140.0,1,1,62
1,22,0,3,161.0,0,0,0
0,24,1,1,-32.0,0,0,29
1,27,0,3,-44.0,0,0,6
0,31,0,0,-1.0,0,1,0
1,23,0,1,-1.0,1,0,1
0,23,1,5,-1.0,1,0,0
1,24,0,0,-3.0,0,1,0
1,29,0,1,-1.0,0,1,0
1,20,0,1,-1.0,1,0,1
1,30,0,2,-1.0,1,0,1
1,39,0,0,-1.0,1,1,0
1,27,0,4,-1.0,1,1,0
1,31,1,2,812.0,0,1,10
0,37,0,2,0.0,1,1,0
1,20,0,0,-1.0,1,1,2
1,22,0,0,0.0,1,1,2
0,52,0,0,-1.0,1,1,0
0,23,0,0,-1.0,1,0,3
0,48,0,0,-1.0,1,1,1
1,25,1,0,0.0,1,1,0
1,27,1,0,-1.0,1,0,1
1,30,0,11,0.0,1,0,1
1,22,0,3,-1.0,0,0,1
0,22,1,1,-1.0,1,1,0
1,32,1,2,-232.0,1,1,40
0,41,0,2,-1.0,0,1,0
0,25,0,0,-1.0,1,1,0
1,44,0,24,53.0,0,1,117
1,52,0,3,0.0,1,0,24
1,43,0,0,-1.0,1,1,41
1,37,1,3,-4.0,1,1,2
1,28,0,3,299.0,0,0,2
1,70,1,1,-13.0,0,1,12
1,54,1,6,-266.0,1,0,0
1,46,1,3,-1.0,1,1,14
1,21,0,0,-1.0,0,0,1
1,26,0,1,-1.0,0,0,1
1,38,0,3,23.0,1,0,1
1,34,1,5,-1.0,0,1,1
1,19,0,1,-48.0,1,0,48
1,34,0,5,-1.0,0,1,0
1,23,1,0,0.0,1,0,0
1,34,0,5,-1.0,1,0,2
1,30,0,2,-83.0,1,1,83
1,39,0,6,-1.0,1,0,2
1,24,0,0,-1.0,1,1,1
1,33,1,1,-93.0,0,0,0
1,58,1,2,-1.0,1,1,1
0,21,0,0,0.0,0,1,0
1,21,0,1,-36.0,1,1,36
1,23,0,4,-11.0,0,0,11
1,62,1,0,0.0,1,1,1
1,27,0,4,300.0,0,0,0
1,37,1,5,-1.0,1,1,10
1,43,0,2,-1.0,1,0,7
0,32,0,5,0.0,1,1,-1
1,23,0,0,-1.0,1,1,45
1,27,0,0,0.0,0,1,0
1,44,1,0,-1.0,0,0,1
1,28,1,3,-1.0,0,0,0
0,42,1,0,-3.0,1,1,1
1,24,0,9,-1.0,1,0,4
1,27,0,0,0.0,1,1,17
1,20,0,0,-1.0,1,0,0
0,51,1,0,0.0,0,1,1
1,56,1,0,0.0,0,1,1
1,29,0,7,-1.0,1,1,1
1,20,0,0,-1.0,1,0,209
1,53,1,6,-176.0,1,1,174
1,27,1,8,-1.0,1,1,68
1,24,0,2,-1.0,1,0,19
1,53,1,36,-7.0,1,0,32
1,28,1,2,0.0,0,0,1
1,21,0,3,-22.0,1,1,22
0,36,0,0,-1.0,1,1,12
0,25,1,2,-2.0,0,0,1
0,23,0,1,0.0,0,1,0
1,28,1,1,-4.0,1,1,1
0,21,0,0,-1.0,1,0,1
1,36,1,0,-1.0,0,1,0
1,24,0,0,-1.0,1,1,0
1,28,0,3,206.0,1,0,32
1,30,0,1,-1.0,1,0,0
1,29,0,0,-1.0,1,1,1
0,30,1,0,0.0,0,1,3
1,51,0,1,-1.0,0,1,1
1,33,0,3,-94.0,1,1,3
0,25,0,2,-86.0,1,1,1
1,32,0,12,-1.0,1,0,1
1,23,0,1,0.0,1,1,1
1,47,0,3,0.0,1,1,0
0,32,0,1,-80.0,1,0,2
1,37,1,0,-1.0,1,1,19
1,19,0,2,-1.0,1,0,1
1,27,0,0,-1.0,0,1,2
1,39,0,0,-1.0,0,1,0
0,21,1,0,0.0,1,1,0
1,69,1,0,-1.0,0,1,0
1,21,1,2,-1.0,1,1,2
1,26,0,6,0.0,0,0,3
1,22,1,0,-2.0,1,1,0
0,23,0,0,-1.0,1,0,0
1,49,0,3,0.0,1,1,3
1,29,0,2,-1.0,0,1,50
0,60,1,0,-1.0,0,1,0
1,23,0,3,0.0,1,0,0
1,34,0,2,47.0,0,0,207
0,20,0,1,-21.0,1,1,2
1,36,0,1,0.0,1,1,95
1,30,1,0,0.0,1,1,1
1,21,0,1,-1.0,1,1,-1
1,22,1,2,-1.0,0,0,0
1,21,0,4,-1.0,1,0,219
1,21,0,0,-1.0,1,0,12
1,34,1,1,0.0,0,1,0
0,50,1,1,-1.0,0,0,0
1,40,1,0,-1.0,1,0,8
1,25,0,7,-1.0,1,0,127
0,53,1,1,-1.0,0,1,0
0,24,0,0,-1.0,1,1,1
1,42,0,1,-12.0,1,1,4
1,28,0,1,-1.0,0,1,1
1,24,1,1,-36.0,0,1,36
1,26,0,6,-1.0,1,0,1
1,22,0,4,-1.0,1,0,260
1,21,1,3,-8.0,0,1,5
1,37,0,23,-1.0,1,0,17
1,35,0,2,-1.0,1,1,5
1,53,0,2,-1.0,1,1,0
1,29,0,7,-1.0,1,1,1
1,48,1,23,-1.0,1,0,360
0,52,1,0,0.0,0,1,0
1,27,0,12,-1.0,1,0,31
1,28,0,5,0.0,1,1,51
1,33,1,3,0.0,0,1,0
0,28,0,0,-1.0,1,1,2
1,47,1,5,-312.0,1,0,291
1,36,0,14,-1.0,1,0,0
1,29,0,2,-1.0,1,1,1
1,22,0,0,0.0,0,0,21
1,26,0,6,-34.0,1,1,0
1,25,1,0,0.0,1,1,0
1,68,1,2,-150.0,1,1,0
1,56,0,5,-1.0,1,1,12
1,27,0,9,-1.0,1,0,52
1,52,1,4,-1.0,1,0,7
1,32,0,3,0.0,1,1,1
1,60,0,4,-1.0,1,1,1
1,23,0,1,-5.0,0,1,5
0,39,1,0,-2.0,0,1,0
1,56,1,0,-1.0,0,1,0
0,22,0,0,0.0,1,1,0
0,27,0,1,-31.0,1,0,0
1,53,0,11,-1.0,1,1,110
1,25,1,0,0.0,0,0,0
1,21,0,0,0.0,0,1,0
1,22,1,0,-1.0,1,1,1
0,58,1,2,-23.0,0,1,1
1,31,0,7,0.0,0,0,1
1,22,1,1,-1.0,1,0,0
1,28,0,8,-1.0,1,0,3
1,42,0,1,-1.0,1,1,2
1,20,0,0,0.0,1,0,0
1,29,1,0,0.0,0,0,5
1,29,0,8,178.0,1,1,87
1,58,0,21,-1.0,0,0,59
1,22,0,3,-1.0,1,1,106
1,48,0,1,0.0,0,0,0
1,37,1,0,0.0,1,1,0
1,57,0,1,-1.0,1,0,25
1,27,1,3,-22.0,0,1,-1
1,26,0,3,0.0,1,1,33
1,24,1,3,0.0,1,0,0
1,33,1,0,-1.0,1,1,1
1,29,0,2,-1.0,1,1,0
0,24,0,3,-1.0,1,0,1
1,19,1,1,-1.0,1,0,32
1,36,1,2,-1.0,0,1,0
0,24,1,0,0.0,1,1,0
1,34,1,0,0.0,0,1,0
1,25,0,2,-1.0,1,0,0
1,20,0,1,-1.0,1,0,1
1,28,0,2,-263.0,0,0,1
1,24,0,1,-1.0,0,0,1
1,61,1,4,-1.0,1,1,1
0,50,0,3,0.0,1,1,-1
1,30,0,1,0.0,0,1,4
1,38,0,5,-1.0,1,1,1
1,24,1,0,-1.0,0,1,0
1,45,0,16,-83.0,1,1,64
0,46,0,2,-1.0,1,0,9
1,41,1,0,-1.0,0,0,3
1,20,0,0,-1.0,1,0,22
1,27,0,13,-1.0,0,0,1
0,51,0,16,-122.0,1,1,66
1,26,0,1,-1.0,0,0,13
1,29,0,3,0.0,1,0,1
1,52,1,6,-1.0,1,0,1
1,28,1,1,0.0,1,0,4
0,34,0,4,-152.0,1,0,97
1,55,0,5,-1.0,1,0,118
1,26,0,10,-1.0,1,0,0
1,28,0,5,-1.0,1,1,1
1,63,1,2,-3.0,1,1,3
1,42,0,0,0.0,1,1,1
1,23,0,6,-1.0,1,1,0
1,54,0,28,-1.0,1,0,5
1,35,0,8,-1.0,1,0,10
0,24,0,6,-1.0,1,0,26
1,54,0,2,-26.0,0,1,0
1,58,0,12,-1.0,0,0,3
1,23,1,1,0.0,0,0,0
1,35,0,1,-1.0,0,1,0
1,20,0,1,0.0,1,0,2
1,51,1,0,0.0,1,1,35
1,24,0,0,0.0,1,1,1
1,37,1,3,-14.0,1,1,6
1,47,1,3,-1.0,1,1,0
1,34,1,4,-1.0,1,0,1
1,56,1,0,-2.0,1,1,0
1,34,0,4,-1.0,1,0,31
1,59,1,1,-2.0,1,0,0
1,35,0,0,-1.0,1,1,101
1,58,0,1,-11.0,1,1,10
1,29,0,2,-26.0,0,1,0
0,24,1,6,0.0,1,0,3
1,21,1,2,-1.0,0,0,8
1,50,0,5,0.0,1,0,11
1,26,0,1,-1.0,1,1,1
0,30,1,0,-1.0,0,1,1
1,29,1,6,-43.0,1,0,18
1,29,1,0,0.0,0,0,1
1,54,0,0,-1.0,0,1,1
1,29,0,4,-1.0,1,0,8
0,59,1,0,-2.0,0,1,0
1,38,0,0,0.0,1,1,1
0,22,0,2,49.0,1,0,18
1,29,0,4,-53.0,1,0,25
1,27,1,1,-1.0,0,0,1
1,26,0,7,-1.0,1,0,1
1,52,0,20,-1.0,1,1,27
1,66,0,33,0.0,1,0,13
1,27,1,2,0.0,1,1,0
1,51,1,1,-1.0,0,1,1
1,35,1,1,0.0,1,1,74
1,52,1,4,-1.0,0,1,0
0,35,0,12,-54.0,0,1,-1
1,48,0,12,0.0,1,1,1
0,26,0,0,-1.0,0,1,1
0,48,1,0,0.0,0,1,0
1,30,0,7,-1.0,0,1,37
1,28,0,2,-1.0,0,1,1
1,33,0,2,0.0,0,1,0
0,34,0,6,-1.0,1,1,52
1,25,0,0,0.0,0,1,-1
1,59,0,10,-1.0,1,0,127
1,29,0,5,-1.0,1,0,2
1,24,1,0,0.0,1,1,1
1,48,1,1,-1.0,1,0,129
1,55,0,0,61.0,0,0,45
1,52,0,4,0.0,0,1,1
1,20,0,0,0.0,1,0,0
1,25,1,4,-5.0,1,0,5
1,24,1,0,-1.0,1,1,15
1,23,1,0,-1.0,0,1,1
1,27,1,6,-1.0,1,1,1
1,25,0,1,-1.0,0,0,0
1,31,0,0,-1.0,1,1,0
1,25,0,6,-1.0,1,0,4
1,32,1,1,-7.0,1,0,0
1,21,1,0,-1.0,1,0,-1
1,37,0,1,-1.0,1,1,5
1,25,1,0,0.0,1,1,0
1,32,0,20,0.0,1,1,0
1,35,0,0,-1.0,1,1,2
1,42,0,14,-1.0,1,0,1
1,24,1,9,-23.0,0,0,10
1,22,1,6,168.0,1,0,62
1,21,0,0,-1.0,1,0,0
1,47,1,1,0.0,0,1,0
1,27,0,5,-1.0,1,0,1
1,43,0,2,-12.0,0,0,4
1,46,1,2,-1.0,1,0,0
1,44,0,1,0.0,0,1,0
1,23,1,2,-1.0,1,1,0
1,42,0,8,-1.0,1,1,1
1,58,0,6,-1.0,1,1,144
1,26,0,3,-1.0,1,1,1
0,48,0,0,-1.0,1,1,17
1,39,0,3,-1.0,1,0,3
1,21,0,3,0.0,1,0,-1
1,63,1,1,-9.0,0,1,5
1,22,0,3,-11.0,1,0,7
1,50,0,3,-1.0,0,1,0
1,38,0,0,-1.0,1,1,9
1,41,1,1,-6.0,1,1,6
1,28,0,16,-1.0,1,0,1
0,30,0,0,0.0,0,1,1
1,23,0,1,0.0,1,1,0
1,25,1,2,-13.0,1,0,12
1,40,1,5,0.0,1,1,0
1,24,0,8,0.0,1,1,-1
1,27,0,5,0.0,0,0,64
1,44,1,11,0.0,0,1,180
0,35,0,6,-1.0,1,0,1
1,42,1,0,0.0,0,1,0
1,38,0,15,0.0,1,1,0
1,26,0,4,0.0,1,1,-1
0,25,0,0,-1.0,0,1,0
1,64,0,1,-8.0,1,1,7
0,49,1,2,0.0,0,0,0
1,50,1,5,-1.0,1,0,1
1,28,1,8,162.0,1,0,30
1,66,1,0,0.0,0,0,0
0,46,1,0,-1.0,0,1,1
1,30,0,5,-1.0,1,0,1
0,22,1,0,0.0,0,1,-1
1,23,1,1,-1.0,0,1,9
1,30,0,0,-1.0,0,0,1
1,24,0,10,75.0,1,0,17
1,31,0,0,-1.0,0,1,0
1,31,0,1,-1.0,1,1,0
1,21,0,4,622.0,1,0,117
1,28,0,4,747.0,1,1,52
1,25,0,0,-1.0,0,1,0
0,21,1,0,-1.0,1,1,2
1,27,0,0,-1.0,0,1,1
1,20,0,0,-1.0,0,0,1
1,32,0,1,-27.0,1,1,0
0,24,1,0,0.0,1,1,0
1,20,0,1,-1.0,1,1,0
1,31,0,3,-20.0,0,0,19
1,27,0,3,-1.0,0,0,6
1,59,0,17,-65.0,1,0,58
1,40,0,0,-1.0,1,1,1
1,22,0,11,0.0,1,0,0
0,38,0,1,-1.0,1,1,0
1,36,0,1,-8.0,0,0,39
1,30,0,1,0.0,0,1,0
1,27,1,6,-1.0,1,0,34
0,59,1,0,0.0,0,1,0
1,37,1,2,-2.0,0,1,1
1,28,0,5,0.0,0,0,1
1,38,1,0,0.0,1,1,0
1,22,0,0,-1.0,1,0,0
1,43,0,1,-44.0,0,1,41
1,25,0,4,-1.0,1,0,31
1,51,1,0,0.0,0,1,0
1,29,1,2,29.0,0,0,25
1,28,0,10,0.0,1,1,0
1,55,0,9,0.0,0,0,3
0,23,1,3,-1.0,1,1,5
0,22,0,0,-1.0,0,1,7
0,19,1,2,-2.0,1,0,22
1,31,0,1,-27.0,0,1,-1
1,29,0,0,0.0,0,1,0
1,61,0,15,-1.0,1,0,1
1,24,0,4,-175.0,1,0,0
1,31,0,0,0.0,0,1,0
1,20,0,4,-1.0,1,0,2
1,26,1,3,-1.0,1,0,1
1,27,1,5,0.0,0,1,1
1,25,1,1,-1.0,1,1,1
1,23,1,3,-1.0,1,0,9
1,38,0,0,-1.0,1,1,1
1,27,0,18,0.0,1,0,0
0,35,1,0,0.0,1,0,-1
1,22,0,0,-1.0,1,1,16
0,58,0,4,-14.0,1,0,1
0,57,1,0,-1.0,0,0,1
1,21,0,0,-1.0,1,1,0
0,22,0,0,-1.0,1,1,1
1,30,0,0,-1.0,1,1,2
1,24,1,1,-38.0,1,0,37
1,22,1,2,-40.0,1,0,27
1,29,1,3,-61.0,1,0,38
1,30,0,8,-1.0,1,0,1
0,31,0,10,-1.0,1,1,0
0,45,1,1,0.0,1,1,1
1,23,0,4,320.0,1,1,89
1,39,1,2,-13.0,1,0,4
1,31,0,0,-1.0,1,0,1
1,22,0,1,-1.0,1,0,1
0,27,0,9,-68.0,1,0,65
1,27,0,13,-1.0,1,0,2
1,38,1,1,-1.0,1,0,0
1,31,0,23,0.0,1,0,55
1,47,0,20,-1.0,1,1,1
1,22,0,3,-1.0,1,1,0
1,35,0,1,-1.0,0,0,79
1,23,0,2,-19.0,0,0,19
1,65,0,2,-18.0,0,0,5
1,35,0,0,-1.0,0,1,1
0,33,0,0,-1.0,1,1,1
1,53,1,1,-10.0,0,1,1
1,52,0,0,-1.0,1,1,1
1,21,0,0,-1.0,1,1,0
1,37,0,11,-1.0,1,1,1
1,30,0,4,-1.0,0,0,0
1,33,1,5,-32.0,1,1,21
1,54,0,0,0.0,1,1,-1
0,31,0,0,0.0,0,1,-1
0,59,1,2,26.0,1,1,29
1,27,0,0,-1.0,0,1,1
1,36,0,0,-1.0,0,0,0
1,46,0,17,-1.0,1,0,6
1,22,0,3,0.0,1,1,323
0,28,1,0,-1.0,0,1,0
0,34,1,15,-4.0,1,0,3
1,29,0,7,-2.0,1,0,0
1,23,0,2,0.0,0,0,80
1,27,0,3,-1.0,1,1,0
1,21,0,0,-1.0,1,0,0
1,48,1,3,-3.0,1,0,0
1,30,0,15,210.0,1,0,20
0,32,0,2,-43.0,1,1,-1
1,31,0,5,-1.0,1,1,6
1,36,0,4,-1.0,0,1,2
1,44,0,14,-1.0,1,0,1
1,53,1,2,-2.0,1,1,0
1,33,0,3,-1.0,0,0,1
1,21,0,2,-306.0,1,1,293
1,33,0,4,236.0,1,0,339
1,47,1,2,0.0,1,0,2
1,57,0,20,0.0,1,0,33
1,28,0,2,-1.0,0,1,6
1,24,0,1,-1.0,0,1,1
1,44,0,1,-1.0,1,1,1
1,46,0,0,-1.0,1,1,1
1,37,0,6,0.0,1,1,1
1,26,0,10,-6.0,0,0,5
1,27,0,10,0.0,1,0,0
1,40,1,1,-1.0,1,1,1
0,60,1,9,0.0,1,0,384
1,53,1,1,-6.0,1,1,6
1,26,0,8,-52.0,1,1,40
1,28,0,0,-1.0,1,1,1
1,23,0,0,0.0,0,1,0
0,46,1,2,-1.0,1,1,19
1,23,0,0,-1.0,1,0,1
1,50,0,18,-1.0,1,0,248
1,45,0,0,-1.0,0,1,1
1,22,0,1,-1.0,1,1,0
1,26,1,1,0.0,1,0,16
1,62,1,0,-1.0,1,1,2
1,34,1,0,0.0,0,0,-1
1,24,0,1,-6.0,1,1,6
1,21,1,0,-1.0,0,1,1
1,25,1,0,-1.0,1,0,0
1,68,1,0,-1.0,0,1,3
1,41,1,2,-47.0,0,1,0
1,21,1,1,-1.0,1,1,0
0,37,0,1,-1.0,1,1,1
1,22,0,0,0.0,1,1,0
1,38,1,11,-268.0,1,0,268
1,42,1,1,-1.0,1,1,0
1,22,1,1,-1.0,1,0,1
1,45,0,0,-1.0,1,0,2
0,36,0,4,-1.0,1,0,0
1,48,0,2,0.0,1,1,1
0,45,1,1,-106.0,1,1,8
1,23,0,6,-1.0,1,0,8
1,24,0,0,0.0,1,1,1
1,29,0,0,-1.0,1,1,1
1,24,0,0,-3.0,1,1,0
1,50,0,11,0.0,1,1,2
1,34,0,10,0.0,1,0,2
1,23,0,0,0.0,1,1,0
0,22,1,0,-1.0,0,1,2
1,36,0,0,-1.0,1,1,7
1,30,1,22,-1.0,1,0,3
1,21,0,0,-1.0,1,0,1
0,53,1,0,0.0,1,1,1
1,24,1,1,-37.0,1,1,0
1,25,0,7,-1.0,0,0,0
0,25,0,1,0.0,0,1,0
1,71,0,8,-1.0,1,1,24
1,39,0,10,-1.0,0,1,40
0,37,0,0,0.0,1,1,37
1,20,0,0,0.0,1,0,7
0,29,0,3,-1.0,1,1,0
1,22,0,2,-1.0,1,0,1
1,26,0,4,-1.0,1,0,83
0,47,0,19,-1.0,1,0,30
1,21,0,1,-1.0,1,0,0
0,23,0,0,-1.0,0,1,1
0,20,1,1,-1.0,1,0,17
0,23,0,0,-1.0,1,1,1
1,27,0,3,0.0,0,1,0
1,55,1,18,-47.0,1,0,37
0,53,0,0,0.0,1,1,0
0,23,0,0,-1.0,1,1,0
1,26,0,5,-1.0,1,0,22
1,25,0,6,-1.0,1,1,6
1,23,0,2,-1.0,0,1,1
1,27,0,4,0.0,1,0,0
